Timestamp,Bid Close,Ask Close,sym,duration
2017.03.24D15:27:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:26:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:25:00.000000000,99.671875,99.6796875,US5YT=RR,4.672
2017.03.24D15:22:00.000000000,99.6640625,99.671875,US5YT=RR,4.672
2017.03.24D15:21:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:18:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:17:00.000000000,99.6484375,99.65625,US5YT=RR,4.672
2017.03.24D15:16:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:15:00.000000000,99.6484375,99.65625,US5YT=RR,4.672
2017.03.24D15:14:00.000000000,99.6484375,99.65625,US5YT=RR,4.672
2017.03.24D15:13:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:12:00.000000000,99.65625,99.6640625,US5YT=RR,4.672
2017.03.24D15:11:00.000000000,99.640625,99.6484375,US5YT=RR,4.672
2017.03.24D15:10:00.000000000,99.640625,99.6484375,US5YT=RR,4.672
2017.03.24D15:08:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D15:07:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D15:05:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D15:03:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D15:02:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D15:01:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D15:00:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:59:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D14:56:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D14:54:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:53:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D14:52:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:51:00.000000000,99.6171875,99.625,US5YT=RR,4.672
2017.03.24D14:50:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:49:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D14:48:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
2017.03.24D14:47:00.000000000,99.640625,99.6484375,US5YT=RR,4.672
2017.03.24D14:46:00.000000000,99.640625,99.6484375,US5YT=RR,4.672
2017.03.24D14:44:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:43:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:42:00.000000000,99.6171875,99.625,US5YT=RR,4.672
2017.03.24D14:41:00.000000000,99.609375,99.625,US5YT=RR,4.672
2017.03.24D14:40:00.000000000,99.625,99.640625,US5YT=RR,4.672
2017.03.24D14:38:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:37:00.000000000,99.6171875,99.625,US5YT=RR,4.672
2017.03.24D14:36:00.000000000,99.609375,99.6171875,US5YT=RR,4.672
2017.03.24D14:35:00.000000000,99.6171875,99.6328125,US5YT=RR,4.672
2017.03.24D14:34:00.000000000,99.625,99.6328125,US5YT=RR,4.672
2017.03.24D14:33:00.000000000,99.6328125,99.640625,US5YT=RR,4.672
